Tag	Treat_1	Treat_2	Treat_3	Model_1	Model_2	Model_3
MET	1443.171506	1427.241854	1170.724578	1945.311788	1817.024934	1836.036433
MTCL1	1036.173547	964.2437911	989.5410121	1413.139516	1267.345072	1374.614027
ERGIC3	6782.316226	7317.382423	7544.312137	5537.238316	5814.877387	5520.658443
PROX1	1925.867153	1521.854501	1251.131486	2347.985657	2299.113059	2385.302852
E2F1	3023.975172	3287.286244	4295.873061	2386.740653	2333.902924	2571.609388
CPNE1	8031.819621	8809.041398	8229.378991	6450.343849	6780.047634	6429.023471
GPS1	4144.694189	4381.370796	4233.691719	3161.840588	3487.932436	3243.4713
APEH	4381.618121	5282.203983	4596.05885	3492.675927	3746.371431	3403.714228
PRRC1	1451.036201	1200.77541	1098.894407	1913.173498	1685.817444	1755.914969
CD320	1358.626036	1621.499736	1528.803341	1109.716248	1089.419763	1102.394115
PEPD	2580.602999	2656.199754	2732.762773	2022.821782	2118.205763	2021.37765
ENSG00000243829	752.0614456	877.6832837	958.4503411	592.6678771	633.1755377	516.4455791
TMEM263	828.7422204	797.1618816	679.706394	1132.4021	1070.533837	1043.509665
TMEM123	11092.16901	9644.450946	8144.683715	13953.68932	12891.13587	13222.93746
CAP2	1123.668277	938.0743354	928.4317622	1427.318173	1437.318411	1310.902984
ACAP3	2746.744678	2834.353357	2665.220971	2125.853358	2047.632037	2197.065679
ENSG00000276980	112.0719017	116.7560332	62.18134204	211.7346164	194.8232424	184.3758983
ATP6V0D1	938.8479484	1167.560332	1133.201354	751.4688394	765.3770236	770.3244339
HSD17B10	1360.59221	1506.756738	1688.545064	880.9672432	1152.04152	1090.810289
ATP6V0B	2603.213997	3199.719219	3412.469167	2040.781414	2347.81887	2169.071432
ZNF121	423.7104353	432.8025367	310.9067102	615.3537289	571.5477774	621.6653326
LIMS1	979.1545095	819.3052672	716.1575256	1259.064772	1158.005497	1235.608114
LINC01124	205.4651531	202.310023	212.2742366	128.5531599	108.3455787	114.8729419
MYORG	3469.313518	3276.214551	3328.845983	2591.858563	2658.93966	2641.112345
RAB17	973.2559884	1141.390876	1142.850183	799.6762744	772.3349966	771.2897527
TK1	3565.65603	3620.443545	3842.378101	2660.861362	3006.838307	2799.424634
RBM10	2073.330181	2300.899067	2188.139985	1458.511219	1709.673351	1693.169244
LCOR	1701.723349	1445.359169	1153.571104	2131.524821	2089.379875	2056.129128
SHCBP1	725.5181004	669.3341556	648.615723	980.2178446	909.5064631	935.3939554
POU2F1	673.414497	558.6172276	460.9996048	845.9932217	813.0888381	913.1916221
CDK4	1519.852281	1750.33398	1750.726406	1219.364532	1287.224994	1214.3711
PERP	4375.7196	3845.903471	3929.217562	5221.526879	5386.465053	5113.293892
SPRY4	2904.038575	2825.294699	2781.006918	3625.010062	3700.647609	3513.760576
IBTK	530.8669028	570.6954379	392.3857101	787.3881047	745.4971009	749.0874194
RBM39	3451.617955	3395.990137	3415.685444	4619.406564	4094.270078	4518.657487
NDUFB11	1220.010789	1482.600318	1430.170867	990.6155267	1026.798007	976.9026655
EBLN3P	537.7485107	427.7699491	414.8996443	798.7310306	641.1275068	671.8619122
FGD6	233.974672	170.1014621	128.6510525	386.6047237	280.3069099	329.1737242
FRK	312.6216205	301.9552582	239.0765392	429.1406957	425.4303456	484.5900574
TMEM250	879.862737	966.2568261	971.3154464	589.8321456	722.6351898	673.7925499
GLS	2198.182212	2002.969879	1556.677735	2672.204288	2778.219196	2763.707837
PLD1	2231.607165	2040.211028	1791.465906	2798.86696	2716.591436	2665.245316
TAF15	360.7928765	211.3686807	176.8951972	119.1007217	81.50768303	139.9712317
SLC3A2	4643.119225	5236.910694	4938.056232	3570.18592	3945.170658	3884.44301
